n, MergeSort, QuickSort, HeapSort, RadxSort, std::sort, qsort
10, 0.02765400, 0.00316100, 0.00355600, 5.68375300, 0.00434600, 0.00474100
110, 0.07506100, 0.02251900, 0.06992600, 28.29629600, 0.08572900, 0.03002500
210, 0.14301200, 0.04859300, 0.17027100, 78.24316000, 0.22163000, 0.06084000
310, 0.23308600, 0.07190100, 0.27377800, 96.41916100, 0.34488900, 0.11022200
410, 0.43417300, 0.09995000, 0.33145700, 124.63288900, 0.50133300, 0.18133300
510, 0.35437100, 0.12760500, 0.42113600, 153.44829600, 0.52187700, 0.15170400
610, 0.59891400, 0.17659200, 0.52266600, 190.78202500, 1.09906200, 0.24849300
710, 0.47012300, 0.18093800, 0.62301200, 172.54834500, 0.91614800, 0.24138200
810, 0.59219700, 0.22360500, 0.77076500, 248.13906200, 1.01254300, 0.28879100
910, 0.63526000, 0.25679000, 1.23456800, 283.80167900, 1.12197500, 0.35476500
