n, MergeSort, QuickSort, HeapSort, RadxSort, std::sort, qsort
100, 0.07822200, 0.01106200, 0.05372800, 0.41125800, 0.03911100, 0.01501200
200, 0.12760400, 0.03832100, 0.12404900, 0.82567800, 0.08928400, 0.03239500
300, 0.23506100, 0.05451900, 0.24296200, 1.22706000, 0.15288900, 0.05293800
400, 0.29550600, 0.04424700, 0.30222200, 1.67426900, 0.19437000, 0.07111100
500, 0.32000000, 0.04938300, 0.37570300, 2.12977500, 0.24177800, 0.09758000
600, 0.65501100, 0.09244400, 0.67911000, 4.15604300, 0.33975200, 0.14814800
700, 0.80473900, 0.09283900, 0.76483800, 4.95959700, 0.50567800, 0.17659200
800, 0.76523300, 0.13708600, 0.76878900, 3.55831500, 0.42034500, 0.16790100
900, 0.55071600, 0.09165400, 0.83199900, 3.77362400, 0.46577700, 0.17461700
1000, 0.65738200, 0.09600000, 0.97619600, 4.27772100, 0.63407300, 0.21649400
1100, 0.67397500, 0.10824700, 1.19585000, 4.36108000, 0.66844300, 0.23940700
1200, 0.75180100, 0.16316100, 1.00780100, 5.27920100, 0.68108500, 0.24375300
1300, 0.95960300, 0.13313600, 1.11486300, 5.42023900, 0.73678900, 0.25995000
1400, 1.48068900, 0.21965400, 2.00256400, 9.61539200, 0.82804800, 0.28088800
1500, 1.49767600, 0.27180200, 2.08710800, 10.02467600, 1.46883700, 0.59219700
1600, 1.06469000, 0.17975300, 1.55654100, 7.16798800, 0.96473900, 0.34409800
1700, 1.10103500, 0.18607400, 1.59091100, 9.61262700, 1.05362800, 0.45748100
1800, 1.13343000, 0.19634500, 2.05313300, 8.16867900, 1.07693700, 0.38044400
1900, 1.29975100, 0.18923500, 1.79199800, 8.36581300, 1.59209700, 0.46498700
2000, 1.21441800, 0.19397500, 1.89905800, 9.63277500, 1.30923300, 0.52385100
2100, 1.88602200, 0.21846900, 2.30518200, 9.46368900, 1.48780000, 0.45945600
2200, 2.42211900, 0.34251800, 3.09332900, 11.01627900, 1.52138100, 0.50725800
2300, 1.53520700, 0.23427200, 2.31229300, 8.83791200, 1.75604700, 0.58350600
2400, 1.57234300, 0.30696300, 2.26014500, 10.56749000, 1.63081300, 0.58785100
2500, 1.51545400, 0.25362900, 2.36720600, 11.09687200, 1.55851600, 0.54162900
2600, 1.73550400, 0.27851800, 2.62873700, 11.00087200, 1.69718200, 0.56217200
2700, 1.74893600, 0.28246900, 2.61688500, 11.86605600, 1.71930600, 1.31950400
2800, 3.05816800, 0.40809800, 3.80206800, 12.70042400, 1.75565200, 0.64315900
2900, 1.75446700, 0.45234500, 2.98863800, 12.65420200, 1.85362700, 0.65106100
3000, 1.82557800, 0.32632100, 2.91634200, 13.37005200, 2.02824300, 0.64078900
3100, 1.92197300, 0.37096300, 3.57688300, 12.37726400, 1.92868800, 0.66646800
3200, 1.94844200, 0.34370300, 3.14034100, 15.62269100, 2.74014400, 0.78024500
3300, 2.02468800, 0.53096200, 3.22093300, 13.92432400, 2.29293500, 0.89915900
3400, 2.09659000, 0.40928400, 3.21895800, 14.42289100, 2.17204600, 0.74311000
3500, 2.20918200, 0.40138200, 3.56898200, 14.77449600, 2.34350300, 0.82883800
3600, 2.93886000, 0.47328400, 4.36029000, 16.12441900, 2.82824200, 1.05402300
3700, 2.27831700, 0.38083800, 3.78073400, 16.09281400, 2.54735400, 0.90034400
3800, 2.77886000, 0.71782600, 3.89411700, 15.36116100, 2.56513200, 0.88177700
3900, 2.48177300, 0.65896100, 4.30340000, 15.75108600, 2.51653900, 0.93036900
4000, 2.36286000, 0.42192500, 4.17421600, 16.24609800, 2.69550200, 0.90785000
4100, 2.50626700, 0.38834500, 4.08690800, 16.85251700, 3.08424200, 0.96118400
4200, 3.08621700, 0.40335800, 4.39189400, 17.22268900, 3.24977200, 1.07614700
4300, 3.89253700, 0.48316000, 5.08522600, 17.73508300, 4.32868500, 1.02478800
4400, 2.84641500, 0.45906100, 4.90586800, 21.55413800, 4.46221500, 1.55772600
4500, 2.98073700, 0.47367800, 4.78972100, 18.35532900, 3.12651400, 1.17214700
4600, 2.98508200, 0.50528300, 4.81105400, 26.93605600, 3.12453800, 1.17807200
4700, 2.88592100, 0.47565300, 5.71653400, 18.67098300, 3.14468700, 1.10143100
4800, 2.87920500, 0.54992500, 6.19613800, 20.77705400, 3.31061200, 1.14133100
4900, 3.37224100, 0.53412300, 6.02665700, 19.42831500, 3.21105700, 1.13619600
