n, MergeSort, QuickSort, HeapSort, RadxSort, std::sort, qsort
10, 0.00671600, 0.01777800, 0.00355600, 0.47486400, 0.00197600, 0.00197500
110, 0.07229600, 0.02488900, 0.07506200, 6.24395100, 0.02765400, 0.01738200
210, 0.17106200, 0.03239500, 0.16276600, 21.14291300, 0.08177800, 0.05096300
310, 0.21491400, 0.02330900, 0.25560500, 34.76148200, 0.11101200, 0.05135800
410, 0.25125900, 0.02963000, 0.34488900, 39.77402500, 0.14340700, 0.07150600
510, 0.31249400, 0.03081500, 0.43772900, 67.36829600, 0.20543200, 0.11140800
610, 0.70795000, 0.08572800, 0.81738200, 89.96424700, 0.24612300, 0.14814800
710, 0.46459300, 0.07071600, 0.64948200, 82.53195100, 0.32553100, 0.12958100
810, 0.65738300, 0.06163000, 0.82172900, 97.12118500, 0.41442000, 0.20306200
910, 0.62419700, 0.06083900, 0.85886400, 107.72977800, 0.43772900, 0.17145700
