n, MergeSort, QuickSort, HeapSort, RadxSort, std::sort, qsort
100, 0.06755500, 0.01185200, 0.06637000, 0.41362900, 0.03200000, 0.04701300
200, 0.12681500, 0.02291300, 0.14893800, 0.86241900, 0.07348100, 0.05688900
300, 0.19200000, 0.03397500, 0.23980200, 1.26775100, 0.13392600, 0.09442000
400, 0.31367900, 0.04543200, 0.33619700, 1.67347900, 0.17224600, 0.12641900
500, 0.36345600, 0.06044400, 0.44207400, 2.10014500, 0.23150600, 0.20227100
600, 0.69096100, 0.09916000, 0.81619600, 4.03436400, 0.44049300, 0.33975200
700, 0.72256700, 0.10232100, 0.88730800, 3.31693300, 0.33501200, 0.27338300
800, 0.83752900, 0.12246900, 1.06152900, 4.40651200, 0.37372800, 0.27180200
900, 0.55032000, 0.18133300, 0.87940600, 4.42428900, 0.50528300, 0.38162900
1000, 0.97106100, 0.13669100, 1.08523300, 4.17303000, 0.48869000, 0.41086300
1100, 1.14528200, 0.16948100, 1.71140500, 6.64808800, 0.57678900, 0.43693800
1200, 0.73639400, 0.13155600, 1.37757800, 5.48700300, 0.63446800, 0.43496300
1300, 0.87348000, 0.14222200, 1.42656600, 5.25036200, 0.66567800, 0.49619600
1400, 0.98212200, 0.21965400, 1.47792400, 5.57391700, 0.75022100, 0.72138200
1500, 1.83505900, 0.25086400, 1.97609500, 6.59317500, 0.87150500, 0.67634400
1600, 1.56167600, 0.24098700, 2.21787300, 10.43988400, 0.89362800, 0.62854300
1700, 1.29343000, 0.18646800, 1.90498500, 7.78705000, 0.93273900, 0.69214700
1800, 1.19901000, 0.19792600, 1.90459000, 8.68067800, 0.96631900, 0.68740700
1900, 1.27407300, 0.20938300, 1.93382400, 8.31366600, 1.13659100, 0.86992400
2000, 1.39812100, 0.22083900, 2.80453900, 8.92640600, 1.35584900, 1.17017100
2100, 1.93817000, 0.24928300, 2.96730400, 11.44215400, 1.53046700, 1.00385000
2200, 1.44552800, 0.24533300, 2.73856400, 9.34438000, 1.43762700, 1.08602300
2300, 1.45659000, 0.26113500, 2.54893400, 12.25400500, 1.83782400, 1.68770100
2400, 1.67782500, 0.26429600, 2.69352700, 10.92185900, 1.55614600, 1.07851600
2500, 1.56760300, 0.27654300, 2.68404500, 11.05381000, 1.52967700, 1.12908400
2600, 1.89471300, 0.46222100, 2.80177400, 10.23326700, 1.53718200, 1.05244300
2700, 1.68217000, 0.29866600, 2.86379700, 12.65301700, 1.68612100, 1.21007300
2800, 1.90696000, 0.34765400, 3.14508200, 12.19514100, 2.03377400, 1.35742900
2900, 1.76157700, 0.31170300, 3.20434000, 12.68146100, 1.80345400, 1.37007200
3000, 1.80305800, 0.32197500, 3.18893300, 14.71049500, 1.92315800, 1.68691100
3100, 1.94212000, 0.33303600, 4.56730200, 12.74111600, 1.76355200, 1.37244200
3200, 2.12029300, 0.35476500, 4.05569700, 14.60817400, 2.11120700, 1.40207200
3300, 2.10291000, 0.57007300, 4.26389400, 13.09153500, 2.63703200, 1.51426900
3400, 2.15979900, 0.40414800, 3.87910500, 14.07049600, 2.05589800, 1.55298500
3500, 2.21471200, 0.38992500, 4.02922900, 14.53903900, 2.72671200, 2.17639200
3600, 2.30636700, 0.41441900, 4.18922800, 16.20698700, 2.11910800, 1.50123200
3700, 2.26725600, 0.51832000, 4.44641200, 15.70525900, 2.26251500, 1.67940500
3800, 2.33007000, 0.41086400, 4.32117800, 15.69498800, 2.94715600, 1.75130600
3900, 3.37461200, 0.46656800, 4.52503000, 16.19118500, 2.41184800, 1.97096000
4000, 2.46518100, 1.04967800, 5.04572000, 16.08254200, 2.38933000, 1.77698500
4100, 2.53392200, 0.44246900, 4.52542500, 16.78733200, 3.32839000, 1.79950300
4200, 2.60305800, 0.46775300, 4.72888200, 16.80629400, 2.70972400, 1.89945300
4300, 2.69905700, 0.51318500, 5.76868300, 18.29923000, 3.48206800, 2.30320600
4400, 2.85747700, 0.53451700, 5.19070800, 18.16095900, 2.80691000, 2.18192300
4500, 4.20424100, 0.53807300, 5.78408900, 18.83572400, 3.37619200, 2.49797100
4600, 3.55159900, 0.52740600, 5.43999100, 19.38367300, 3.67209300, 2.42725600
4700, 3.70764800, 0.67081400, 5.59722600, 18.73103300, 3.37303100, 2.76384800
4800, 2.96295800, 0.53451800, 6.28779300, 21.90771800, 3.91979600, 2.85155100
4900, 3.20473500, 0.59298700, 5.46369500, 21.19423800, 3.09253800, 3.04276100
