n, MergeSort, QuickSort, HeapSort, RadxSort, std::sort, qsort
10, 0.00632100, 0.00158000, 0.00355600, 0.39861700, 0.01896300, 0.00197600
110, 0.12128400, 0.01066700, 0.11496300, 7.93046900, 0.02844400, 0.01817300
210, 0.17461800, 0.01856800, 0.16276500, 29.61817300, 0.06953100, 0.05451800
310, 0.21530900, 0.02765400, 0.26706200, 35.71397500, 0.14854300, 0.05688900
410, 0.36227200, 0.03002400, 0.33343200, 38.55683900, 0.18488900, 0.07150600
510, 0.54874100, 0.06123400, 0.52977800, 72.27851800, 0.21293800, 0.12088900
610, 0.49027200, 0.05017300, 0.55940800, 69.30133300, 0.26113600, 0.14064200
710, 0.45116000, 0.07190100, 0.71545700, 85.90893800, 0.34844500, 0.16158100
810, 0.53293800, 0.09639500, 0.81896300, 90.12424700, 0.44800000, 0.31328400
910, 0.65185200, 0.07229600, 0.94143200, 103.51249400, 0.41797500, 0.23348200
